Industry Rankings - 2026-03-22 21:22 UTC
Tickers: 520 | Industries: 180

========================================================================================================================
Period: 5-Day Performance
========================================================================================================================

Rank  Industry                                       Avg      Std  Count  Top 5 Stocks
 178  AGRICULTURAL CHEMICALS                     -11.56%   7.96%      2  CF -3.60%, MOS -19.52%
 179  GOLD AND SILVER ORES                       -12.58%   0.00%      1  NEM -12.58%
 180  ELECTRONIC COMPUTERS                       -17.04%  16.19%      2  AAPL -0.85%, SMCI -33.24%


========================================================================================================================
Detailed Breakdown: 5-Day Performance by Industry
========================================================================================================================

1. OIL & GAS FIELD MACHINERY & EQUIPMENT (avg=+11.22%, std=0.00%, 1 stocks)
    BKR        +11.22%

2. SPECIAL INDUSTRY MACHINERY, NEC (avg=+7.62%, std=0.00%, 1 stocks)
    LRCX        +7.62%

3. OIL & GAS FIELD SERVICES, NEC (avg=+6.35%, std=2.08%, 2 stocks)
    HAL         +8.43%
    SLB         +4.27%

4. COMPUTER STORAGE DEVICES (avg=+5.77%, std=2.33%, 3 stocks)
    WDC         +7.64%
    STX         +7.17%
    NTAP        +2.48%

5. OPTICAL INSTRUMENTS & LENSES (avg=+5.64%, std=0.00%, 1 stocks)
    KLAC        +5.64%

6. CRUDE PETROLEUM & NATURAL GAS (avg=+5.59%, std=3.62%, 7 stocks)
    APA        +13.46%
    CTRA        +5.66%
    FANG        +5.58%
    DVN         +5.21%
    OXY         +4.89%
    EOG         +3.84%
    EQT         +0.47%

7. NATURAL GAS TRANSMISSION & DISTRIBUTION (avg=+4.51%, std=0.00%, 1 stocks)
    OKE         +4.51%

8. SERVICES-HELP SUPPLY SERVICES (avg=+4.11%, std=0.00%, 1 stocks)
    RHI         +4.11%

9. AIR TRANSPORTATION, SCHEDULED (avg=+3.69%, std=2.64%, 4 stocks)
    DAL         +7.93%
    UAL         +3.87%
    LUV         +1.70%
    AAL         +1.26%

10. APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL (avg=+3.19%, std=0.00%, 1 stocks)
    LULU        +3.19%

11. PETROLEUM REFINING (avg=+2.88%, std=0.92%, 6 stocks)
    COP         +4.13%
    VLO         +4.02%
    MPC         +2.81%
    CVX         +2.49%
    XOM         +2.27%
    PSX         +1.58%

12. CONSTRUCTION, MINING & MATERIALS HANDLING MACHINERY & EQUIP (avg=+2.67%, std=0.00%, 1 stocks)
    DOV         +2.67%

13. TRANSPORTATION SERVICES (avg=+2.47%, std=0.52%, 2 stocks)
    EXPE        +2.98%
    BKNG        +1.95%

14. LABORATORY ANALYTICAL INSTRUMENTS (avg=+2.39%, std=1.90%, 5 stocks)
    ILMN        +4.53%
    WAT         +4.33%
    MTD         +2.62%
    BIO         +0.64%
    A           -0.19%

15. AIR COURIER SERVICES (avg=+2.04%, std=0.00%, 1 stocks)
    FDX         +2.04%

16. AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP (avg=+2.00%, std=2.35%, 2 stocks)
    CARR        +4.35%
    JCI         -0.35%

17. NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING (avg=+1.92%, std=0.44%, 2 stocks)
    NWS         +2.35%
    NWSA        +1.48%

18. ELECTRONIC COMPONENTS & ACCESSORIES (avg=+1.79%, std=0.00%, 1 stocks)
    HUBB        +1.79%

19. NATIONAL COMMERCIAL BANKS (avg=+1.50%, std=1.46%, 12 stocks)
    WFC         +4.72%
    C           +3.62%
    KEY         +2.70%
    ZION        +1.79%
    RF          +1.44%
    JPM         +1.10%
    BAC         +0.94%
    COF         +0.93%
    TFC         +0.75%
    USB         +0.49%
    PNC         +0.29%
    HBAN        -0.79%

20. SECURITY BROKERS, DEALERS & FLOTATION COMPANIES (avg=+1.46%, std=2.93%, 6 stocks)
    MS          +4.26%
    GS          +4.00%
    BLK         +3.66%
    SCHW        +1.72%
    RJF         -1.48%
    MKTX        -3.39%

21. RETAIL-CATALOG & MAIL-ORDER HOUSES (avg=+1.22%, std=2.32%, 2 stocks)
    CDW         +3.54%
    AMZN        -1.11%

22. PRINTED CIRCUIT BOARDS (avg=+1.19%, std=0.00%, 1 stocks)
    JBL         +1.19%

23. ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO (avg=+1.18%, std=1.48%, 2 stocks)
    EXPD        +2.67%
    CHRW        -0.30%

24. FINANCE SERVICES (avg=+1.15%, std=2.63%, 2 stocks)
    SYF         +3.78%
    AXP         -1.49%

25. RETAIL-FAMILY CLOTHING STORES (avg=+1.05%, std=1.33%, 2 stocks)
    ROST        +2.38%
    TJX         -0.29%

26. ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES (avg=+0.87%, std=3.67%, 5 stocks)
    ALGN        +5.45%
    STE         +2.54%
    ISRG        +1.23%
    EW          +0.84%
